CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM
100000014,209,15753,124647,Xenobiotics,Benzoate Metabolism,4463,NAMED,QIAFMBKCNZACKA-UHFFFAOYAD,O=C(C1=CC=CC=C1)NCC(O)=O,hippurate,hippurate,495-69-2,451,HMDB0000714,C01586,464,Neg
100000016,305,15730,145770,Lipid,"Fatty Acid, Dicarboxylate",1677,NAMED,TYFQFVWCELRYAO-UHFFFAOYAN,OC(CCCCCCC(O)=O)=O,suberate (C8-DC),suberate (C8-DC),505-48-6,10025,HMDB0000893,C08278,10457,Polar
100000036,209,15676,123263,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",394,NAMED,JVQYSWDUAOAHFM-UHFFFAOYAW,CCC(C)C(C(O)=O)=O,3-methyl-2-oxovalerate,3-methyl-2-oxovalerate,"51829-07-3,1460-34-0",46,HMDB0000491,"C03465,C06008,C00671","439286,440877",Neg
100000039,400,18374,155665,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",440,NAMED,QEFRNWWLZKMPFJ-YGVKFDHGBW,O=C(O)[C@@H](N)CCS(C)=O,methionine sulfoxide,methionine sulfoxide,3226-65-1,139840,HMDB0002005,C02989,158980,Pos Early
100000041,209,17662,151415,Lipid,Estrogenic Steroids,3449,NAMED,PROQIPRRNZUXQM-ZXXIGWHRBN,O[C@@H]1[C@]2(C)[C@](C[C@H]1O)([H])[C@]3([H])CCC4=C(C=CC(O)=C4)[C@]([H])3CC2,estriol,estriol,50-27-1,5553,HMDB0000153,C05141,5756,Neg
100000042,209,15677,123265,Amino Acid,Histidine Metabolism,72,NAMED,JDHILDINMRGULE-LURJTMIEBU,N[C@H](C(O)=O)CC1=CN=CN1C,3-methylhistidine,3-methylhistidine,368-16-1,58494,HMDB0000479,C01152,64969,Neg
100000043,209,15736,126033,Xenobiotics,"Drug - Analgesics, Anesthetics",5379,NAMED,IPROLSVTVHAQLE-UHFFFAOYAX,OC1C(C(O)=O)OC(OC2=CC=C(NC(C)=O)C=C2)C(O)C1O,4-acetamidophenylglucuronide,4-acetamidophenylglucuronide,120595-80-4,3239926,HMDB0010316,,"4022661,83944",Neg
100000044,400,15747,155593,Amino Acid,Histidine Metabolism,87,NAMED,MYYIAHXIVFADCU-QMMMGPOBBJ,CN1C=NC=C1C[C@@H]([C@@](O)=O)NC(CCN)=O,anserine,anserine,10030-52-1,100482,HMDB0000194,C01262,112072,Pos Early
100000054,400,15685,155573,Amino Acid,Lysine Metabolism,119,NAMED,YSMODUONRAFBET-UHFFFAOYAX,N[C@@H](CCC(O)CN)C(O)=O,5-hydroxylysine,5-hydroxylysine,13204-98-3,1002,HMDB0000450,C16741,3032849,Pos Early
100000093,305,35629,145840,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1236,NAMED,RVKKEHPFHRUPIR-UHFFFAOYAU,OCC(OP(O)(O)=O)C(O)=O,2-phosphoglycerate,2-phosphoglycerate,70195-25-4,13766841,HMDB0000362,C00631,59,Polar
100000096,400,15681,155572,Amino Acid,Guanidino and Acetamido Metabolism,563,NAMED,TUHVEAJXIMEOSA-UHFFFAOYAM,N=C(N)NCCCC(O)=O,4-guanidinobutanoate,4-guanidinobutanoate,"463-003,463-00-3",486,HMDB0003464,C01035,500,Pos Early
100000112,305,33951,147990,Amino Acid,Creatine Metabolism,530,NAMED,DRBBFCLWYRJSJZ-UHFFFAOYAF,N=C(N(C)CC(O)=O)NP(O)(O)=O,creatine phosphate,creatine phosphate,922-32-7,567,HMDB0001511,C02305,"9548602,587",Polar
100000125,400,15949,155608,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4263,NAMED,CKTSBUTUHBMZGZ-SHYZEUOFBO,[H][C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(N)C=C2)=O)[H],2'-deoxycytidine,2'-deoxycytidine,951-77-9,13117,HMDB0000014,C00881,13711,Pos Early
100000135,209,15076,124625,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4128,NAMED,VGONTNSXDCQUGY-RRKCRQDMBC,OC[C@@H]1[C@H](C[C@H](N2C=NC3=C2N=CN=C3O)O1)O,2'-deoxyinosine,2'-deoxyinosine,890-38-0,58569,HMDB0000071,C05512,135398593,Neg
100000251,209,15797,127541,Cofactors and Vitamins,Riboflavin Metabolism,4335,NAMED,FVTCRASFADXXNN-UHFFFAOYAV,CC1=C(C)C=C(N(CC(O)C(C(COP(O)(O)=O)O)O)C(C2=N3)=NC(NC2=O)=O)C3=C1,flavin mononucleotide (FMN),FMN,130-40-5,690,HMDB0001520,C00061,643976,Neg
100000257,305,15443,146478,Carbohydrate,Aminosugar Metabolism,1407,NAMED,IAJILQKETJEXLJ-QTBDOELSBX,O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O,glucuronate,glucuronate,207300-70-7,58552,HMDB0000127,C16245,"441478,23677976,94715,65041,444791",Polar
100000258,400,43847,157058,Lipid,Glycerolipid Metabolism,2843,NAMED,AWUCVROLDVIAJX-UHFFFAOYAM,O=P(O)(OCC(CO)O)O,glycerol 3-phosphate,glycerol 3-phosphate,29849-82-9,734,HMDB0000126,C0093,754,Pos Early
100000263,400,15716,155583,Amino Acid,Histidine Metabolism,83,NAMED,ACZFBYCNAVEFLC-YFKPBYRVBI,OC(C(O)=O)CC1=CN=CN1,imidazole lactate,imidazole lactate,14403-45-3,389128,HMDB0002320,C05568,793,Pos Early
100000265,400,15140,155539,Amino Acid,Tryptophan Metabolism,267,NAMED,YGPSJZOEDVAXAB-QMMMGPOBBJ,N[C@H](C(O)=O)CC(C1=CC=CC=C1N)=O,kynurenine,kynurenine,2922-83-0,141580,HMDB0000684,C00328,161166,Pos Early
100000269,400,15990,155613,Lipid,Phospholipid Metabolism,2237,NAMED,SUHOQUVVVLNYQR-MRVPVSSYBR,O=P(OCC[N+](C)(C)C)([O-])OC[C@H](O)CO,glycerophosphorylcholine (GPC),glycerophosphorylcholine (GPC),28319-77-9,571409,HMDB0000086,C00670,71920,Pos Early
100000275,209,15910,126826,Carbohydrate,Glycogen Metabolism,1295,NAMED,LUEWUZLMQUOBSB-ZLBHSGTGBQ,O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)O[C@@H]2CO)[C@@H]1O,maltotetraose,maltotetraose,34612-38-9,393830,HMDB0001296,C02052,439639,Neg
100000276,305,44688,147873,Carbohydrate,Glycogen Metabolism,1297,NAMED,FYGDTMLNYKFZSV-DZOUCCHMBX,O[C@H]1[C@H](O)[C@@H](CO)O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@@H]1O,maltotriose,maltotriose,1109-28-0,388669,HMDB0001262,C01835,439586,Polar
100000282,400,15720,155584,Amino Acid,Glutamate Metabolism,47,NAMED,RFMMMVDNIPUKGG-QUCRTXIXBK,O=C(O)CC[C@@H](C(O)=O)NC(C)=O,N-acetylglutamate,N-acetylglutamate,5817-08-3,1266066,HMDB0001138,C00624,70914,Pos Early
100000295,209,15336,123251,Xenobiotics,Food Component/Plant,5074,NAMED,FEWJPZIEWOKRBE-UHFFFAOYAZ,OC([C@H](O)[C@@H](O)C(O)=O)=O,tartarate,tartarate,"87-69-4,6106-24-7",852,"HMDB0000956,HMDB0062642","C00552,C02107,C00898","444305,875",Neg
100000298,305,15860,147164,Carbohydrate,Nucleotide Sugar,1384,NAMED,HSCJRCZFDFQWRP-ABVWGUQPBC,O[C@H]([C@@H]1O)[C@@H](O[C@@H]1COP(OP(O[C@H]([C@H](O)[C@H]2O)O[C@H](CO)[C@@H]2O)(O)=O)(O)=O)N(C=CC3=O)C(N3)=O,UDP-galactose,UDP-galactose,"137868-52-1,91183-98-1,2956-16-3",17069,HMDB0000302,C00052,18068,Polar
100000299,209,15136,124851,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4124,NAMED,UBORTCNDUKBEOP-UUOKFMHZBM,OC1=C(N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)C2=NC(O)=N1,xanthosine,xanthosine,146-80-5,58484,HMDB0000299,C01762,64959,Neg
100000300,305,15706,146894,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1364,NAMED,,O[C@H]([C@H]1O)[C@H]([C@@H](CO)O[C@@H]1OP(O)(O)=O)O,galactose 1-phosphate,galactose 1-phosphate,19046-60-7,,HMDB0000645,C00446,123912,Polar
100000341,209,15442,123253,Carbohydrate,Pentose Phosphate Pathway,1246,NAMED,BIRSGZKFKXLSJQ-SQOUGZDYBT,O=P(OC[C@H]([C@@H](O)[C@H](O)[C@@H](O)C(O)=O)O)(O)O,6-phosphogluconate,6-phosphogluconate,"921-62-0,53411-70-4",82615,HMDB0001316,C00345,91493,Neg
100000406,305,15772,146492,Carbohydrate,Pentose Metabolism,1262,NAMED,HEBKCHPVOIAQTA-ZXFHETKHBG,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,ribitol,ribitol,488-81-3,10254628,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508","C00379,C01904,C00474,C00532",6912,Polar
100000436,209,18477,123291,Lipid,Secondary Bile Acid Metabolism,3488,NAMED,WVULKSPCQVQLCU-ZGFCPQMKBG,O=C(NCC(O)=O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])CC[C@@]3([H])[C@@]2(CC1)[H],glycodeoxycholate,glycodeoxycholate,360-65-6,,HMDB00631,C05464,3035026,Neg
100000437,209,18394,125760,Xenobiotics,Xanthine Metabolism,4594,NAMED,ZFXYFBGIUFBOJW-UHFFFAOYAT,O=C(N1C)C(N=CN2)=C2N(C)C1=O,theophylline,theophylline,58-55-9,2068,HMDB0001889,C07130,2153,Neg
100000442,305,18335,146498,Xenobiotics,Food Component/Plant,4906,NAMED,AAWZDTNXLSGCEK-WYWMIBKRBU,O[C@@]1([C@](O)(C[C@@](C(O)=O)(C[C@]1(O)[H])O)[H])[H],quinate,quinate,77-95-2,10246715,HMDB0003072,C00296,6508,Polar
100000445,400,18392,155668,Xenobiotics,Xanthine Metabolism,4593,NAMED,YAPQBXQYLJRXSA-UHFFFAOYAW,CN1C=NC(N(C(N2)=O)C)=C1C2=O,theobromine,theobromine,83-67-0,5236,HMDB0002825,C07480,5429,Pos Early
100000454,400,18319,155648,Amino Acid,Lysine Metabolism,136,NAMED,JJMDCOVWQOJGCB-UHFFFAOYAD,OC(CCCCN)=O,5-aminovalerate,5-aminovalerate,660-88-8,135,HMDB0003355,C00431,138,Pos Early
100000463,209,18349,124659,Amino Acid,Tryptophan Metabolism,298,NAMED,XGILAAMKEQUXLS-UHFFFAOYAH,OC(C(O)=O)CC1=CNC2=C1C=CC=C2,indolelactate,indolelactate,832-97-3,83867,HMDB0000671,C02043,92904,Neg
100000467,209,27672,123315,Amino Acid,Tryptophan Metabolism,322,NAMED,BXFFHSIDQOFMLE-UHFFFAOYAB,O=S(OC2=CNC1=CC=CC=C12)(O)=O,3-indoxyl sulfate,3-indoxyl sulfate,2642-37-7,9840,HMDB0000682,,10258,Neg
100000487,400,18357,155655,Peptide,Dipeptide,829,NAMED,STKYPAFSDFAEPH-LURJTMIEBB,CC(C)[C@@H](C(O)=O)NC(CN)=O,glycylvaline,glycylvaline,1963-21-9,2006926,HMDB0028854,,2724807,Pos Early
100000491,400,33422,156014,Peptide,Gamma-glutamyl Amino Acid,643,NAMED,XHHOHZPNYFQJKL-QWRGUYRKBO,O=C(O)[C@H](CC1=CC=CC=C1)NC(CC[C@@H](C(O)=O)N)=O,gamma-glutamylphenylalanine,gamma-glutamylphenylalanine,7432-24-8,99868,HMDB0000594,,111299,Pos Early
100000551,209,22116,124905,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",343,NAMED,BKAJNAXTPSGJCU-UHFFFAOYAG,CC(C)CC(C(O)=O)=O,4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate,816-66-0,69,HMDB0000695,C00233,70,Neg
100000565,209,37538,143746,Lipid,Eicosanoid,2144,NAMED,JSFATNQSLKRBCI-VAEKSGALBV,OC(CCC\C=C/C\C=C/C/C=C\C=C\[C@@H](O)CCCCC)=O,15-HETE,15-HETE,54845-95-3,4444307,HMDB0003876,C04742,9966861,Neg
100000580,209,20675,123293,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1220,NAMED,MPCAJMNYNOGXPB-SLPGGIOYBT,O[C@@H]1[C@@H](CO)OC[C@H](O)[C@H]1O,"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-AG)",154-58-5,,HMDB0002712,C07326,64960,Neg
100000584,209,19266,125764,Lipid,Monoacylglycerol,2874,NAMED,RCRCTBLIHCHWDZ-DOFZRALJBN,CCCCC\C=C/C\C=C/C\C=C/C/C=C\CCCC(OC(CO)CO)=O,2-arachidonoylglycerol (20:4),2-arachidonoylglycerol (20:4),53847-30-6,4445451,HMDB0004666,C13856,5282280,Neg
100000587,209,19449,142909,Lipid,Eicosanoid,2109,NAMED,FMKLAIBZMCURLI-RCVQAOCZBP,CCCCCC(CC[C@H]1C=CC([C@@H]1C/C=C\CCCC(O)=O)=O)=O,"13,14-dihydro-15-keto-prostaglandin A2","13,14-dihydro-15-keto-prostaglandin A2",74872-89-2,21403045,HMDB0001244,,5283042,Neg
100000616,305,52449,165112,Lipid,Phosphatidylinositol (PI),2557,NAMED,KRTOMQDUKGRFDJ-OALUUITLBO,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(O[C@](C(O)(C(O)(C(O)([C@](O)1[H])[H])[H])[H])([C@]1(O)[H])[H])=O)OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)=O,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),383907-33-3,21403055,HMDB0009815,,,Polar
100000626,402,34445,158668,Lipid,Sphingosines,3162,NAMED,DUYSYHSSBDVJSM-KRWOKUGFBM,OP([O-])(OC[C@@]([H])([C@](O)(/C=C/CCCCCCCCCCCCC)[H])[NH3+])=O,sphingosine 1-phosphate,sphingosine 1-phosphate,26993-30-6,4446673,HMDB0000277,C06124,5283560,Pos Late
100000630,209,19260,126848,Lipid,Lysophospholipid,2704,NAMED,JZWNYZVVZXZRRH-YFKVPUFHBF,CCCCCCCC\C=C/CCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)O)=O,1-oleoyl-GPS (18:1),1-oleoyl-GPS (18:1),326589-90-6,7826049,HMDB0061694,,85036846,Neg
100000639,402,19265,180966,Lipid,Phosphatidylserine (PS),2506,NAMED,AJFWREUFUPEYII-PAHWMLEVBX,CCCCCCCCCCCCCCCCCC(OC[C@]([H])(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O,1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-GPS (18:0/18:1),,7826037,HMDB0010163,,9547087,Pos Late
100000641,402,52448,208095,Lipid,Phosphatidylglycerol (PG),2520,NAMED,PAZGBAOHGQRCBP-DDDNOICHBU,OCC(COP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)=O)O,1-palmitoyl-2-oleoyl-GPG (16:0/18:1),1-palmitoyl-2-oleoyl-GPG (16:0/18:1),,4446626,,,70789105,Pos Late
100000642,402,53009,166338,Lipid,Phosphatidylserine (PS),2507,NAMED,AGTPCXBHIGMTEU-NREGDSCDBU,CCCCC\C=C/C\C=C/CCCCCCCC(O[C@](COC(CCCCCCCCCCCCCCCCC)=O)(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)[H])=O,1-stearoyl-2-linoleoyl-GPS (18:0/18:2),1-stearoyl-2-linoleoyl-GPS (18:0/18:2),322647-11-0,7826041,,,9547091,Pos Late
100000654,402,19126,165350,Lipid,Phosphatidylserine (PS),2498,NAMED,KLFKZIQAIPDJCW-GPOMZPHUBM,CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCCCC)=O)(COP(O)(OC[C@]([NH3+])(C([O-])=O)[H])=O)[H])=O,"1,2-dipalmitoyl-GPS (16:0/16:0)","1,2-dipalmitoyl-GPS (16:0/16:0)",145849-32-7,7826040,HMDB0000614,C02737,9547090,Pos Late
100000656,305,19324,147174,Lipid,Lysophospholipid,2722,NAMED,LXUGKKVCSTYZFK-DYLKWFMLBW,[H]C(C(O)(C(O)([C@](O)1[H])[H])[H])([C@@](OP(O)(OC[C@@]([H])(COC(CCCCCCCCCCCCCCCCC)=O)O)=O)([C@]1(O)[H])[H])O,1-stearoyl-GPI (18:0),1-stearoyl-GPI (18:0),796963-93-4,21403067,HMDB0240261,,"71581135,42607495",Polar
100000657,402,19130,164201,Lipid,Phosphatidylcholine (PC),2279,NAMED,KILNVBDSWZSGLL-KXQOOQHDBV,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,"1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,398235,HMDB0000564,D03585,452110,Pos Late
100000665,209,44675,126139,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1564,NAMED,MBMBGCFOFBJSGT-KUBAVDMBBZ,CC\C=C/C\C=C/C\C=C/C/C=C\C/C=C\C/C=C\CCC(O)=O,docosahexaenoate (DHA; 22:6n3),docosahexaenoate (DHA; 22:6n3),6217-54-5,393183,HMDB0002183,C06429,445580,Neg
100000672,402,19258,164196,Lipid,Phosphatidylcholine (PC),2263,NAMED,RFVFQQWKPSOBED-PSXMRANNBM,CCCCCCCCCCCCCCCC(O[C@](COC(CCCCCCCCCCCCC)=O)(COP([O-])(OCC[N+](C)(C)C)=O)[H])=O,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),69525-80-0,114798,HMDB0007869,,129657,Pos Late
100000701,209,21294,151441,Lipid,Estrogenic Steroids,3450,NAMED,ZORQMBLUMWNJEQ-JDUHSGSRBW,O[C@@H]1[C@]2(C)[C@](C[C@H]1O)([H])[C@]3([H])CCC4=C(C=CC(OS(O)(=O)=O)=C4)[C@]([H])3CC2,estriol 3-sulfate,estriol 3-sulfate,50-27-1,19969643,HMDB00153,C05141,66415,Neg
100000706,209,22132,124683,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",347,NAMED,LVRFTAZAXQPQHI-YFKPBYRVBW,OC(C(CC(C)C)O)=O,alpha-hydroxyisocaproate,alpha-hydroxyisocaproate,10303-64-7,75520,"HMDB0000665,HMDB00746,HMDB0000624",C03264,"83697,92779,439960",Neg
100000707,305,20676,147767,Lipid,"Fatty Acid, Dicarboxylate",1672,NAMED,VZCYOOQTPOCHFL-UPHRSURJBG,O=C(C=CC(O)=O)O,maleate,maleate,110-16-7,392248,HMDB0000176,C01384,444266,Polar
100000743,209,22036,126061,Lipid,"Fatty Acid, Monohydroxy",1961,NAMED,JKRDADVRIYVCCY-UHFFFAOYAG,O=C(C(CCCCCC)O)O,2-hydroxyoctanoate,2-hydroxyoctanoate,617-73-2,84994,HMDB0002264,,"94180,6995013,5312860",Neg
100000763,400,22119,155786,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4256,NAMED,ZAYHVCMSTBRABG-JXOAFFINBK,O[C@H]1[C@@H](O)[C@H](N2C(N=C(N)C(C)=C2)=O)O[C@@H]1CO,5-methylcytidine,5-methylcytidine,2140-61-6,83877,HMDB0000982,,92918,Pos Early
100000773,209,22001,126860,Lipid,"Fatty Acid, Monohydroxy",1981,NAMED,NDPLAKGOSZHTPH-UHFFFAOYAI,OC(CC(O)=O)CCCCC,3-hydroxyoctanoate,3-hydroxyoctanoate,88930-08-9,24791,HMDB0001954,C20793,26613,Neg
100000774,209,22130,124681,Amino Acid,Phenylalanine Metabolism,151,NAMED,VOXXWSYKYCBWHO-UHFFFAOYAI,OC(C(O)=O)CC1=CC=CC=C1,phenyllactate (PLA),phenyllactate (PLA),828-01-3,3715,"HMDB0000779,HMDB0000563",C05607,3848,Neg
100000776,402,44681,159624,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1865,NAMED,XOMRRQXKHMYMOC-UHFFFAOYAU,[O-]C(CC(OC(CCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O,palmitoylcarnitine (C16),palmitoylcarnitine (C16),6865-14-1,448,HMDB0000222,C02990,461,Pos Late
100000781,400,32328,155906,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1845,NAMED,VVPRQWTYSNDTEA-UHFFFAOYAN,O=C(CCCCC)OC(CC([O-])=O)C[N+](C)(C)C,hexanoylcarnitine (C6),hexanoylcarnitine (C6),6920-35-0,4932273,HMDB0000756,,6426853,Pos Early
100000787,400,22185,155806,Amino Acid,Alanine and Aspartate Metabolism,37,NAMED,OTCCIMWXFLJLIA-BYPYZUCNBM,OC([C@@H](NC(C)=O)CC(O)=O)=O,N-acetylaspartate (NAA),N-acetylaspartate (NAA),"997-55-7,997-55-7",58576,HMDB0000812,C01042,65065,Pos Early
100000792,209,32425,124935,Lipid,Androgenic Steroids,3338,NAMED,CZWCKYRVOZZJNM-USOAJAOKBK,[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H],dehydroepiandrosterone sulfate (DHEA-S),dehydroepiandrosterone sulfate (DHEA-S),651-48-9,12074,HMDB0001032,C04555,12594,Neg
100000802,400,32198,155890,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",1841,NAMED,RDHQFKQIGNGIED-MRVPVSSYBU,C[N+](C)(C)C[C@H](OC(C)=O)CC([O-])=O,acetylcarnitine (C2),acetylcarnitine (C2),5080-50-2,5406074,HMDB0000201,C02571,7045767,Pos Early
100000808,305,22176,165753,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",461,NAMED,NOKPBJYHPHHWAN-REOHCLBHBK,N[C@H](C(O)=O)CSS(O)(=O)=O,cysteine s-sulfate,cysteine s-sulfate,1637-71-4,102939,HMDB0000731,C05824,115015,Polar
100000827,209,21127,126053,Lipid,Monoacylglycerol,2852,NAMED,QHZLMUACJMDIAE-UHFFFAOYAU,O=C(CCCCCCCCCCCCCCC)OCC(O)CO,1-palmitoylglycerol (16:0),1-palmitoylglycerol (16:0),542-44-9,14201,HMDB0011564,,14900,Neg
100000840,209,20693,143841,Xenobiotics,Food Component/Plant,5207,NAMED,ROBFUDYVXSDBQM-UHFFFAOYAD,O=C(C(O)C(O)=O)O,tartronate (hydroxymalonate),tartronate (hydroxymalonate),80-69-3,44,HMDB0035227,C02287,45,Neg
100000841,209,20694,143843,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4357,NAMED,MUBZPKHOEPUJKR-UHFFFAOYAQ,O=C(O)C(O)=O,oxalate (ethanedioate),oxalate (ethanedioate),144-62-7,946,HMDB0002329,C00209,971,Neg
100000846,305,20699,146508,Xenobiotics,Food Component/Plant,4896,NAMED,UNXHWFMMPAWVPI-UHFFFAOYAU,OCC(O)C(CO)O,erythritol,erythritol,149-32-6,13835932,HMDB0002994,C00503,222285,Polar
100000856,400,20710,155713,Xenobiotics,Chemical,6206,NAMED,PIEPQKCYPFFYMG-UHFFFAOYAE,NC(CO)(CO)CO,trizma acetate,trizma acetate,6850-28-8,73346,,C07182,16218782,Pos Early
100000882,209,21158,152464,Lipid,"Fatty Acid, Monohydroxy",1987,NAMED,ATRNZOYKSNPPBF-UHFFFAOYAM,CCCCCCCCCCCC(O)CC(O)=O,3-hydroxymyristate,3-hydroxymyristate,3422-31-9,15252,,,16064,Neg
100000924,209,21184,126057,Lipid,Monoacylglycerol,2856,NAMED,RZRNAYUHWVFMIP-KTKRTIGZBM,O=C(OCC(O)CO)CCCCCCC/C=C\CCCCCCCC,1-oleoylglycerol (18:1),1-oleoylglycerol (18:1),111-03-5,4446588,HMDB0011567,,5283468,Neg
100000936,305,44526,147248,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",423,NAMED,QHKABHOOEWYVLI-UHFFFAOYAY,OC(C(C(C)C)=O)=O,3-methyl-2-oxobutyrate,3-methyl-2-oxobutyrate,3715-29-5,48,HMDB0000019,C00141,49,Polar
100000943,209,21232,126858,Lipid,Monoacylglycerol,2872,NAMED,UPWGQKDVAURUGE-KTKRTIGZBO,O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC,2-oleoylglycerol (18:1),2-oleoylglycerol (18:1),3443-84-3,4478086,HMDB0011537,,5319879,Neg
100000961,400,22137,155792,Amino Acid,Urea cycle; Arginine and Proline Metabolism,493,NAMED,QUOGESRFPZDMMT-YFKPBYRVBD,N[C@H](C(O)=O)CCCCNC(N)=N,homoarginine,homoarginine,156-86-5,8732,HMDB0000670,C01924,9085,Pos Early
100000963,209,22138,123305,Amino Acid,Urea cycle; Arginine and Proline Metabolism,494,NAMED,XIGSAGMEBXLVJJ-YFKPBYRVBI,N[C@H](C(O)=O)CCCCNC(N)=O,homocitrulline,homocitrulline,1190-49-4,58582,HMDB0000679,C02427,65072,Neg
100000983,209,27503,127569,Lipid,"Fatty Acid, Monohydroxy",1988,NAMED,CBWALJHXHCJYTE-UHFFFAOYAR,OC(CC(O)=O)CCCCCCCCCCCCC,3-hydroxypalmitate,3-hydroxypalmitate,928-17-6,266538,HMDB0010734,,15569776,Neg
100000987,209,32506,125864,Lipid,Monoacylglycerol,2873,NAMED,IEPGNWMPIFDNSD-HZJYTTRNBY,O=C(OC(CO)CO)CCCCCCC/C=C\C/C=C\CCCCC,2-linoleoylglycerol (18:2),2-linoleoylglycerol (18:2),3443-82-1,4517636,HMDB0011538,,5365676,Neg
100000989,400,22202,155809,Xenobiotics,Chemical,6205,NAMED,GSEJCLTVZPLZKY-UHFFFAOYAL,OCCN(CCO)CCO,triethanolamine,triethanolamine,102-71-6,13835630,HMDB0032538,C06771,7618,Pos Early
100000997,209,22053,123301,Lipid,"Fatty Acid, Monohydroxy",1983,NAMED,FYSSBMZUBSBFJL-UHFFFAOYAJ,OC(CC(O)=O)CCCCCCC,3-hydroxydecanoate,3-hydroxydecanoate,5561-87-5,24790,HMDB0002203,,26612,Neg
100001006,400,27710,155837,Amino Acid,"Glycine, Serine and Threonine Metabolism",2,NAMED,OKJIRPAQVSHGFK-UHFFFAOYAB,O=C(O)C(NC(C)=O)[H],N-acetylglycine,N-acetylglycine,543-24-8,10507,HMDB0000532,,10972,Pos Early
100001007,305,27731,147186,Carbohydrate,Pentose Metabolism,1263,NAMED,QXKAIJAYHKCRRA-BXXZVTAOBP,OC([C@H](O)[C@H](O)[C@H](O)CO)=O,ribonate,ribonate,5336-08-3,4574162,HMDB0000867,C01685,5460677,Polar
